Liczba kandydatow o dlugosci : 	Liczba wszystkich wytworzonych podzialow 	Suma wszystkich grup 	Srednia liczba grup 	Suma wszystkich rekordow 	Srednia liczba rekordow 	Liczba wytworzonych podzialow po czyszczeniu kandydatów(pruning) 	Suma wszystkich grup po czyszczeniu kandydatów(pruning) 	Srednia liczba grup po czyszczeniu kandydatów(pruning) 	Suma wszystkich rekordow po czyszczeniu kandydatów(pruning) 	Srednia liczba rekordow po czyszczeniu kandydatów(pruning) 
16	120	12989	108.242	588048	4900.4	120	12989	108.242	588048	4900.4
120	560	230314	411.275	2475282	4420.15	560	230314	411.275	2475282	4420.15
560	1820	1136761	624.594	5531585	3039.33	1820	1136761	624.594	5531585	3039.33
1820	4368	1789323	409.644	6376499	1459.82	4368	1789323	409.644	6376499	1459.82
4368	8008	1466211	183.093	4676861	584.024	8008	1466211	183.093	4676861	584.024
8008	11440	847659	74.0961	2582181	225.715	11440	847659	74.0961	2582181	225.715
11440	12870	387140	30.0831	1142481	88.7778	12869	387130	30.0824	1142447	88.7751
12869	11432	143492	12.722	410918	36.4321	11279	142823	12.6627	409141	36.2746
11279	7011	41360	7.09191	115751	19.8476	5832	37829	6.48645	106202	18.2102
5832	1305	5617	5.49609	15611	15.275	1022	4733	4.63112	13181	12.8973
1022	42	161	4.47222	447	12.4167	36	132	3.66667	363	10.0833
36	0	0	nan	0	nan	0	0	nan	0	nan
